Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Pella High School, @Pella, L, 0-9
Away, 04/08/2019 - Mon, Memorial Stadium, @Waterloo East, L, 0-5
Away, 04/15/2019 - Mon, H. A. Lynn Stadium, @Newton, L, 0-4
Away, 04/16/2019 - Tue, James. W Cownie Soccer Park, @Des Moines Roosevelt, L, 0-7
Home, 04/23/2019 - Tue, Marshalltown High School, Southeast Polk, L, 0-9
Home, 04/26/2019 - Fri, Fort Dodge Senior High School, Fort Dodge, W, 1-0
Away, 04/29/2019 - Mon, Columbus Catholic High School, @Columbus Catholic, L, 0-2
Away, 04/30/2019 - Tue, Valley Stadium, @Valley, L, 0-10
Away, 05/03/2019 - Fri, East High School, @Des Moines East, L, 0-1
Home, 05/07/2019 - Tue, Marshalltown High School, Mason City, L, 1-2
Home, 05/10/2019 - Fri, Marshalltown High School, Waukee, L, 0-2
Away, 05/14/2019 - Tue, Ames High School, @Ames, L, 0-6
Home, 05/20/2019 - Mon, Marshalltown High School, Urbandale, L, 0-4
Away, 05/21/2019 - Tue, Johnston High School, @Johnston, Game Cancelled, N/A
Away, 05/29/2019 - Wed, Johnston High School, @Johnston, L, 0-8
